Drug_Name,NAFDAC_Code,Manufacturer,Category,Label
Sages Ciprofloxacin 100mg,A3-9195,Sages Multipurpose Enterprise Ltd,Medical devices,1
Bond Vitamin C 10mg/5ml,03-7316,Bond Chemical Industries Ltd,Medical devices,1
Wemy Ciprofloxacin 250mg,A3-204537,Wemy Industries Limited,Drugs,1
Wemy Ibuprofen 250mg,A4-3219,Wemy Industries Limited,Medical devices,1
Wemy Vitamin C 500mg,03-8984,Wemy Industries Limited,Vaccines and Biologics,1
Juhel Vitamin C 10mg/5ml,A3-3560,Juhel Nigeria Ltd,Medical devices,1
Sages Artemether 250mg,B4-8546,Sages Multipurpose Enterprise Ltd,Veterinary,1
Fidson Omeprazole 100mg,B4-6142,Fidson Healthcare Plc,Vaccines and Biologics,1
Bond Metformin 10mg/5ml,03-2202,Bond Chemical Industries Ltd,Vaccines and Biologics,1
Juhel Ciprofloxacin 500mg,04-1950,Juhel Nigeria Ltd,Veterinary,1
Juhel Metronidazole 500mg,B4-171907,Juhel Nigeria Ltd,Drugs,1
Swiss Amoxicillin 100mg,03-1793,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Fidson Omeprazole 10mg/5ml,03-306988,Fidson Healthcare Plc,Medical devices,1
Neimeth Ciprofloxacin 100mg,B4-6959,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Swiss Loratadine 500mg,03-6732,Swiss Pharma Nigeria Ltd,Drugs,1
Bliss Ibuprofen 10mg/5ml,B4-9393,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
May Metronidazole 250mg,A4-9666,May & Baker Nigeria Plc,Vaccines and Biologics,1
May Omeprazole 500mg,B4-7320,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Emzor Paracetamol 250mg,04-414997,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Swiss Omeprazole 250mg,03-3079,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Wemy Artemether 250mg,A4-6232,Wemy Industries Limited,Medical devices,1
Swiss Omeprazole 250mg,A4-962061,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Emzor Loratadine 100mg,04-605815,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Sages Artemether 10mg/5ml,04-8970,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Aktika Metformin 500mg,A4-626486,Aktika Global Ltd,Medical devices,1
Roche Paracetamol 100mg,A3-2409,Roche Products Limited,Veterinary,1
Roche Metformin 10mg/5ml,03-2387,Roche Products Limited,Herbals and Nutraceuticals,1
Emzor Paracetamol 250mg,03-3599,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Juhel Ciprofloxacin 100mg,A4-9996,Juhel Nigeria Ltd,Medical devices,1
May Ibuprofen 250mg,04-8141,May & Baker Nigeria Plc,Medical devices,1
May Ibuprofen 500mg,A4-7136,May & Baker Nigeria Plc,Vaccines and Biologics,1
Bond Amoxicillin 10mg/5ml,03-121172,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Juhel Ciprofloxacin 250mg,03-478165,Juhel Nigeria Ltd,Drugs,1
Bliss Ciprofloxacin 100mg,03-8101,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Sages Vitamin C 100mg,04-1060,Sages Multipurpose Enterprise Ltd,Drugs,1
Sages Artemether 500mg,A3-5090,Sages Multipurpose Enterprise Ltd,Medical devices,1
Bliss Loratadine 250mg,B4-6604,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Juhel Metronidazole 10mg/5ml,B4-5873,Juhel Nigeria Ltd,Drugs,1
Bond Metformin 100mg,03-2521,Bond Chemical Industries Ltd,Drugs,1
Roche Metronidazole 250mg,03-8980,Roche Products Limited,Drugs,1
Emzor Omeprazole 500mg,A3-1920,Emzor Pharmaceutical Ind. Ltd,Drugs,1
GlaxoSmithKline Amoxicillin 100mg,B4-4810,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
May Loratadine 100mg,04-1920,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Bond Loratadine 500mg,A3-5388,Bond Chemical Industries Ltd,Medical devices,1
Fidson Ciprofloxacin 100mg,03-5805,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Lady Ciprofloxacin 500mg,A3-6429,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
May Paracetamol 250mg,03-2796,May & Baker Nigeria Plc,Medical devices,1
Swiss Metronidazole 10mg/5ml,A4-8312,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Lady Metformin 100mg,03-8490,Lady Special Sanitary Pads Ventures,Medical devices,1
Neimeth Metronidazole 250mg,04-1954,Neimeth International Pharmaceuticals,Drugs,1
Neimeth Metformin 10mg/5ml,04-502732,Neimeth International Pharmaceuticals,Veterinary,1
Roche Loratadine 100mg,B4-186231,Roche Products Limited,Vaccines and Biologics,1
May Metformin 10mg/5ml,A3-3469,May & Baker Nigeria Plc,Medical devices,1
GlaxoSmithKline Metronidazole 250mg,B4-4998,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Bond Paracetamol 10mg/5ml,04-268383,Bond Chemical Industries Ltd,Drugs,1
GlaxoSmithKline Vitamin C 250mg,A3-6084,GlaxoSmithKline Nigeria,Medical devices,1
Juhel Paracetamol 250mg,04-3752,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Juhel Artemether 100mg,B4-9220,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Bond Amoxicillin 500mg,A3-7540,Bond Chemical Industries Ltd,Veterinary,1
Bond Ciprofloxacin 500mg,03-1988,Bond Chemical Industries Ltd,Vaccines and Biologics,1
Sages Artemether 100mg,04-1933,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Neimeth Amoxicillin 500mg,03-7573,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Roche Ciprofloxacin 10mg/5ml,B4-338260,Roche Products Limited,Vaccines and Biologics,1
Emzor Paracetamol 10mg/5ml,A3-6797,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Sages Amoxicillin 250mg,B4-878513,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
May Loratadine 10mg/5ml,03-536624,May & Baker Nigeria Plc,Vaccines and Biologics,1
Roche Paracetamol 250mg,04-276076,Roche Products Limited,Medical devices,1
Aktika Omeprazole 250mg,A4-4041,Aktika Global Ltd,Medical devices,1
May Ibuprofen 10mg/5ml,04-6383,May & Baker Nigeria Plc,Drugs,1
Juhel Ciprofloxacin 100mg,A4-1894,Juhel Nigeria Ltd,Herbals and Nutraceuticals,1
Emzor Vitamin C 250mg,03-251094,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Vitalgrub Amoxicillin 100mg,03-889352,Vitalgrub Nigeria Limited,Medical devices,1
Bliss Paracetamol 250mg,04-1158,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
Bond Ciprofloxacin 500mg,A4-5703,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Bliss Amoxicillin 10mg/5ml,A4-5732,Bliss GVS Pharma Ltd,Herbals and Nutraceuticals,1
Wemy Artemether 250mg,A3-1525,Wemy Industries Limited,Medical devices,1
Neimeth Loratadine 100mg,A3-4216,Neimeth International Pharmaceuticals,Drugs,1
Sages Paracetamol 100mg,A3-4374,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
Neimeth Vitamin C 10mg/5ml,B4-965962,Neimeth International Pharmaceuticals,Drugs,1
Juhel Metformin 10mg/5ml,A3-4568,Juhel Nigeria Ltd,Veterinary,1
Swiss Ciprofloxacin 10mg/5ml,A4-846788,Swiss Pharma Nigeria Ltd,Medical devices,1
Sages Metformin 250mg,B4-950610,Sages Multipurpose Enterprise Ltd,Vaccines and Biologics,1
Juhel Amoxicillin 10mg/5ml,A4-6342,Juhel Nigeria Ltd,Drugs,1
Bond Ciprofloxacin 250mg,A4-8175,Bond Chemical Industries Ltd,Medical devices,1
Bliss Ibuprofen 250mg,04-7089,Bliss GVS Pharma Ltd,Medical devices,1
Bliss Vitamin C 500mg,04-7924,Bliss GVS Pharma Ltd,Drugs,1
Roche Ibuprofen 500mg,03-8761,Roche Products Limited,Herbals and Nutraceuticals,1
Emzor Vitamin C 100mg,04-5806,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Wemy Artemether 250mg,A4-8117,Wemy Industries Limited,Herbals and Nutraceuticals,1
Roche Ibuprofen 10mg/5ml,B4-5760,Roche Products Limited,Herbals and Nutraceuticals,1
Bliss Omeprazole 100mg,A3-9212,Bliss GVS Pharma Ltd,Medical devices,1
Vitalgrub Ciprofloxacin 10mg/5ml,B4-7012,Vitalgrub Nigeria Limited,Veterinary,1
GlaxoSmithKline Ciprofloxacin 500mg,A4-855801,GlaxoSmithKline Nigeria,Medical devices,1
Wemy Metronidazole 10mg/5ml,A4-6203,Wemy Industries Limited,Veterinary,1
Juhel Omeprazole 100mg,A3-661672,Juhel Nigeria Ltd,Veterinary,1
Wemy Metronidazole 100mg,B4-7807,Wemy Industries Limited,Vaccines and Biologics,1
Lady Metronidazole 100mg,A4-650448,Lady Special Sanitary Pads Ventures,Drugs,1
Aktika Metformin 250mg,A3-191658,Aktika Global Ltd,Vaccines and Biologics,1
Vitalgrub Omeprazole 100mg,A4-7780,Vitalgrub Nigeria Limited,Veterinary,1
Vitalgrub Ciprofloxacin 250mg,A4-7764,Vitalgrub Nigeria Limited,Medical devices,1
Fidson Paracetamol 500mg,04-2804,Fidson Healthcare Plc,Vaccines and Biologics,1
Sages Loratadine 250mg,03-3428,Sages Multipurpose Enterprise Ltd,Medical devices,1
Vitalgrub Amoxicillin 500mg,A3-142828,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Neimeth Paracetamol 100mg,A3-1236,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Fidson Loratadine 10mg/5ml,04-1148,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Neimeth Ibuprofen 100mg,A4-743552,Neimeth International Pharmaceuticals,Herbals and Nutraceuticals,1
Juhel Vitamin C 250mg,04-6299,Juhel Nigeria Ltd,Drugs,1
Aktika Ibuprofen 100mg,B4-5107,Aktika Global Ltd,Herbals and Nutraceuticals,1
GlaxoSmithKline Ibuprofen 250mg,A3-8842,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
GlaxoSmithKline Vitamin C 100mg,04-5259,GlaxoSmithKline Nigeria,Medical devices,1
Vitalgrub Vitamin C 250mg,B4-3964,Vitalgrub Nigeria Limited,Drugs,1
Neimeth Ciprofloxacin 10mg/5ml,B4-964645,Neimeth International Pharmaceuticals,Medical devices,1
Vitalgrub Artemether 250mg,03-466936,Vitalgrub Nigeria Limited,Veterinary,1
Vitalgrub Vitamin C 250mg,B4-325469,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
Fidson Paracetamol 10mg/5ml,A3-1419,Fidson Healthcare Plc,Veterinary,1
Emzor Ibuprofen 250mg,B4-5481,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Emzor Metronidazole 500mg,04-9433,Emzor Pharmaceutical Ind. Ltd,Veterinary,1
Vitalgrub Paracetamol 10mg/5ml,03-3355,Vitalgrub Nigeria Limited,Herbals and Nutraceuticals,1
Neimeth Amoxicillin 250mg,04-4493,Neimeth International Pharmaceuticals,Vaccines and Biologics,1
Fidson Vitamin C 500mg,04-4631,Fidson Healthcare Plc,Drugs,1
Emzor Amoxicillin 100mg,04-8099,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Fidson Loratadine 100mg,03-9599,Fidson Healthcare Plc,Drugs,1
Bliss Ciprofloxacin 100mg,A3-6510,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Fidson Metronidazole 10mg/5ml,04-873887,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Lady Ciprofloxacin 100mg,04-5285,Lady Special Sanitary Pads Ventures,Drugs,1
Fidson Amoxicillin 10mg/5ml,B4-4983,Fidson Healthcare Plc,Veterinary,1
Emzor Vitamin C 250mg,03-8128,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Vitalgrub Paracetamol 100mg,03-6341,Vitalgrub Nigeria Limited,Veterinary,1
Bond Metformin 100mg,03-9853,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Bliss Ciprofloxacin 10mg/5ml,A4-277558,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Vitalgrub Ibuprofen 100mg,B4-204555,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
Fidson Paracetamol 10mg/5ml,B4-7019,Fidson Healthcare Plc,Herbals and Nutraceuticals,1
Bond Omeprazole 500mg,03-3159,Bond Chemical Industries Ltd,Vaccines and Biologics,1
GlaxoSmithKline Ibuprofen 250mg,04-245016,GlaxoSmithKline Nigeria,Herbals and Nutraceuticals,1
Fidson Artemether 10mg/5ml,A4-6251,Fidson Healthcare Plc,Veterinary,1
Aktika Loratadine 10mg/5ml,A4-6891,Aktika Global Ltd,Veterinary,1
Lady Artemether 250mg,A4-4959,Lady Special Sanitary Pads Ventures,Veterinary,1
Vitalgrub Ibuprofen 500mg,A3-6093,Vitalgrub Nigeria Limited,Veterinary,1
Emzor Paracetamol 100mg,A3-518267,Emzor Pharmaceutical Ind. Ltd,Medical devices,1
Aktika Ciprofloxacin 10mg/5ml,03-3125,Aktika Global Ltd,Herbals and Nutraceuticals,1
Swiss Metronidazole 250mg,03-193808,Swiss Pharma Nigeria Ltd,Medical devices,1
Vitalgrub Metformin 100mg,A4-6017,Vitalgrub Nigeria Limited,Vaccines and Biologics,1
Sages Metronidazole 250mg,A3-250787,Sages Multipurpose Enterprise Ltd,Veterinary,1
Aktika Vitamin C 10mg/5ml,A3-763070,Aktika Global Ltd,Herbals and Nutraceuticals,1
Bond Ibuprofen 10mg/5ml,03-173997,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Swiss Ciprofloxacin 500mg,A3-1874,Swiss Pharma Nigeria Ltd,Vaccines and Biologics,1
Aktika Amoxicillin 100mg,A3-338511,Aktika Global Ltd,Vaccines and Biologics,1
GlaxoSmithKline Metformin 500mg,B4-2753,GlaxoSmithKline Nigeria,Medical devices,1
May Vitamin C 500mg,A4-7633,May & Baker Nigeria Plc,Drugs,1
Juhel Vitamin C 250mg,04-2517,Juhel Nigeria Ltd,Drugs,1
Aktika Vitamin C 250mg,A4-4750,Aktika Global Ltd,Medical devices,1
Emzor Metformin 10mg/5ml,A4-6774,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Neimeth Metronidazole 100mg,A4-375709,Neimeth International Pharmaceuticals,Drugs,1
Emzor Ciprofloxacin 100mg,03-7852,Emzor Pharmaceutical Ind. Ltd,Drugs,1
Lady Metformin 250mg,04-7063,Lady Special Sanitary Pads Ventures,Veterinary,1
Roche Omeprazole 10mg/5ml,B4-2898,Roche Products Limited,Vaccines and Biologics,1
Sages Metformin 500mg,03-8183,Sages Multipurpose Enterprise Ltd,Herbals and Nutraceuticals,1
GlaxoSmithKline Omeprazole 10mg/5ml,B4-4864,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Lady Ibuprofen 100mg,03-8544,Lady Special Sanitary Pads Ventures,Medical devices,1
Roche Ibuprofen 500mg,A3-5079,Roche Products Limited,Vaccines and Biologics,1
Lady Amoxicillin 100mg,03-6433,Lady Special Sanitary Pads Ventures,Drugs,1
Swiss Amoxicillin 100mg,03-1155,Swiss Pharma Nigeria Ltd,Medical devices,1
Emzor Artemether 100mg,A4-6925,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Lady Ciprofloxacin 500mg,04-2787,Lady Special Sanitary Pads Ventures,Herbals and Nutraceuticals,1
Emzor Amoxicillin 100mg,B4-6661,Emzor Pharmaceutical Ind. Ltd,Herbals and Nutraceuticals,1
Fidson Metronidazole 250mg,03-3946,Fidson Healthcare Plc,Drugs,1
Bliss Vitamin C 100mg,A3-2531,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
Bond Vitamin C 500mg,A3-2762,Bond Chemical Industries Ltd,Drugs,1
Roche Vitamin C 100mg,04-6374,Roche Products Limited,Veterinary,1
Roche Metformin 100mg,B4-144900,Roche Products Limited,Veterinary,1
Vitalgrub Paracetamol 100mg,04-591862,Vitalgrub Nigeria Limited,Medical devices,1
Lady Ibuprofen 100mg,03-4740,Lady Special Sanitary Pads Ventures,Veterinary,1
Swiss Artemether 500mg,A4-897622,Swiss Pharma Nigeria Ltd,Herbals and Nutraceuticals,1
GlaxoSmithKline Loratadine 100mg,A3-3800,GlaxoSmithKline Nigeria,Vaccines and Biologics,1
Swiss Ibuprofen 10mg/5ml,04-530634,Swiss Pharma Nigeria Ltd,Drugs,1
Wemy Metronidazole 500mg,04-5912,Wemy Industries Limited,Vaccines and Biologics,1
Emzor Artemether 500mg,B4-4628,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Swiss Paracetamol 500mg,A4-4321,Swiss Pharma Nigeria Ltd,Veterinary,1
Bliss Ciprofloxacin 500mg,A4-313981,Bliss GVS Pharma Ltd,Medical devices,1
Lady Paracetamol 500mg,A3-250158,Lady Special Sanitary Pads Ventures,Drugs,1
Roche Ibuprofen 10mg/5ml,A4-784029,Roche Products Limited,Vaccines and Biologics,1
Sages Paracetamol 250mg,04-896948,Sages Multipurpose Enterprise Ltd,Drugs,1
Sages Ibuprofen 100mg,A3-986559,Sages Multipurpose Enterprise Ltd,Medical devices,1
Juhel Metronidazole 500mg,04-752667,Juhel Nigeria Ltd,Vaccines and Biologics,1
Fidson Paracetamol 10mg/5ml,A3-4273,Fidson Healthcare Plc,Drugs,1
Sages Loratadine 10mg/5ml,A3-2054,Sages Multipurpose Enterprise Ltd,Medical devices,1
Juhel Artemether 250mg,B4-8597,Juhel Nigeria Ltd,Vaccines and Biologics,1
Juhel Metformin 250mg,B4-6668,Juhel Nigeria Ltd,Medical devices,1
Roche Vitamin C 250mg,B4-950350,Roche Products Limited,Drugs,1
Sages Vitamin C 100mg,B4-5916,Sages Multipurpose Enterprise Ltd,Drugs,1
Wemy Metformin 10mg/5ml,B4-1358,Wemy Industries Limited,Herbals and Nutraceuticals,1
Bliss Amoxicillin 100mg,A3-7416,Bliss GVS Pharma Ltd,Vaccines and Biologics,1
GlaxoSmithKline Artemether 500mg,B4-180388,GlaxoSmithKline Nigeria,Veterinary,1
Roche Ibuprofen 100mg,A3-144789,Roche Products Limited,Veterinary,1
Bond Metronidazole 10mg/5ml,04-5761,Bond Chemical Industries Ltd,Herbals and Nutraceuticals,1
Lady Ibuprofen 100mg,04-3454,Lady Special Sanitary Pads Ventures,Vaccines and Biologics,1
Wemy Artemether 100mg,03-2970,Wemy Industries Limited,Veterinary,1
Swiss Paracetamol 100mg,04-735719,Swiss Pharma Nigeria Ltd,Drugs,1
Roche Ibuprofen 250mg,03-3953,Roche Products Limited,Veterinary,1
Vitalgrub Loratadine 500mg,03-3841,Vitalgrub Nigeria Limited,Drugs,1
Wemy Metformin 100mg,B4-9392,Wemy Industries Limited,Veterinary,1
May Amoxicillin 250mg,03-8938,May & Baker Nigeria Plc,Herbals and Nutraceuticals,1
Aktika Amoxicillin 250mg,A4-8823,Aktika Global Ltd,Drugs,1
Emzor Artemether 500mg,B4-3368,Emzor Pharmaceutical Ind. Ltd,Vaccines and Biologics,1
Vitalgrub Vitamin C 250mg,04-7687,Vitalgrub Nigeria Limited,Drugs,1
Lady Amoxicillin 100mg,A3-114743,Lady Special Sanitary Pads Ventures,Medical devices,1
Neimeth Omeprazole 10mg/5ml,A4-8016,Neimeth International Pharmaceuticals,Medical devices,1
Roche Ibuprofen 500mg,A4-3437,Roche Products Limited,Drugs,1
